Name,SubCategoryName,Value
Цель сделки,Другое,Привлечь инвестиции
Цель сделки,Другое,Найти партнёра
Цель сделки,Другое,Продать бизнес
Цель сделки,IT бизнес,Получить заём
Доступность,Промышленное,В наличии
Состояние,Промышленное,Новое
Вид промышленного оборудования,Промышленное,Другое
Вид оборудования,Промышленное,Промышленное
Страна производства,Промышленное,Китай
Станок,Промышленное,с
Материал обработки,Промышленное,Металл
Вид станка,Промышленное,Листогибочный
Вид промышленного оборудования,Промышленное,Станки
Вид специализированного оборудования,Промышленное,Строительное
Вид промышленного оборудования,Промышленное,Специализированное
Вид станка,Промышленное,Вальцы
Страна производства,Промышленное,Россия
Тип электрического оборудования,Промышленное,Преобразователи
Вид промышленного оборудования,Промышленное,Электрическое
Состояние,Промышленное,Б/у
Страна производства,Промышленное,Польша
Тип фасовочного и упаковочного оборудования,Промышленное,Упаковочный аппарат
Тип трансформатора,Промышленное,Подстанция
Вид промышленного оборудования,Промышленное,Фасовочное и упаковочное
Тип паяльного и сварочного оборудования,Промышленное,Запчасти и комплектующие
Тип электрического оборудования,Промышленное,Трансформаторы
Вид промышленного оборудования,Промышленное,Паяльное и сварочное
Высота,Промышленное,770 мм
Ширина,Промышленное,600 мм
Длина,Промышленное,1 280 мм
Мощность номинальная,Промышленное,18.5 кВт
Тип генераторов и электростанций,Промышленное,Дизельный
Страна производства,Промышленное,Великобритания
Страна производства,Промышленное,Германия
Тип электрического оборудования,Промышленное,Генераторы и электростанции
Вид специализированного оборудования,Промышленное,Сельскохозяйственное
Тип приводного оборудования,Промышленное,Запчасти и комплектующие
Вид промышленного оборудования,Промышленное,Контрольно-измерительное
Вид промышленного оборудования,Промышленное,Приводное
Тип климатического оборудования,Промышленное,Отопление
Тип климатического оборудования,Промышленное,Вентиляция
Вид промышленного оборудования,Промышленное,Климатическое
Вид станка,Промышленное,Круглошлифовальный
Тип насосного и компрессорного оборудования,Промышленное,Насосы
Вид промышленного оборудования,Промышленное,Насосы и компрессоры
Мощность,Промышленное,33 кВт
Давление,Промышленное,7 атм
Пропускная способность,Промышленное,5 000 л/мин
Тип двигателя,Промышленное,Дизельный
Тип компрессора,Промышленное,Винтовой
Производитель,Промышленное,Baysar
Тип контрольно-измерительного оборудования,Промышленное,Датчики
Тип насосного и компрессорного оборудования,Промышленное,Компрессоры
Мощность,Промышленное,15 кВт
Давление,Промышленное,8 атм
Пропускная способность,Промышленное,2 400 л/мин
Тип двигателя,Промышленное,Электрический
Производитель,Промышленное,Kraftmachine
Тип конвейерного оборудования,Промышленное,Шнековый
Вид промышленного оборудования,Промышленное,Конвейеры и транспортеры
Доступность,Промышленное,Под заказ
Тип конвейерного оборудования,Промышленное,Ленточный
Тип контрольно-измерительного оборудования,Промышленное,Весы
Страна производства,Промышленное,Дания
Тип климатического оборудования,Промышленное,Кондиционирование
Тип приводного оборудования,Промышленное,Двигатель
Количество фаз,Промышленное,Трёхфазные
Мощность,Промышленное,100 кВт
Охлаждение,Промышленное,Масляный
Номинальное напряжение,Промышленное,10 кВ
Тип трансформатора,Промышленное,Силовой
Тип насосного и компрессорного оборудования,Промышленное,Запчасти и комплектующие
Вид станка,Промышленное,Кромкооблицовочный
Материал обработки,Промышленное,Дерево
Вид станка,Промышленное,Форматно-раскроечный
Вид станка,Промышленное,Плазменный
Тип фасовочного и упаковочного оборудования,Промышленное,Запайщик
Вид станка,Промышленное,Пресс
Страна производства,Промышленное,Турция
Тип конвейерного оборудования,Промышленное,Запчасти и комплектующие
Вид станка,Промышленное,Фрезерный
Вид станка,Промышленное,Плоттер
Тип насоса,Промышленное,Циркуляционный
Мощность,Промышленное,75 кВт
Пропускная способность,Промышленное,16 500 л/мин
Производитель,Промышленное,Dali
Вид специализированного оборудования,Промышленное,Полимерное и покрасочное
Вид станка,Промышленное,Лазерный
Тип фасовочного и упаковочного оборудования,Промышленное,Фасовочно-упаковочный аппарат
Вид специализированного оборудования,Промышленное,Химическое
Страна производства,Промышленное,Италия
Вид станка,Промышленное,Рейсмусовый
Мощность номинальная,Промышленное,200 кВт
Страна производства,Промышленное,Швеция
Вид специализированного оборудования,Промышленное,Добывающее
Вид специализированного оборудования,Промышленное,Перерабатывающее
Вид специализированного оборудования,Промышленное,Текстильное
Страна производства,Промышленное,Швейцария
Производитель,Промышленное,Jet
Вид станка,Промышленное,Долбежный
Страна производства,Промышленное,Япония
Тип паяльного и сварочного оборудования,Промышленное,Сварочные аппараты
Материал обработки,Промышленное," Пластик"
Вид станка,Промышленное,Торцовочный
Страна производства,Промышленное,Нидерланды
Вид станка,Промышленное,Сверлильно-присадочный
Тип насосного и компрессорного оборудования,Промышленное,Осушители
Тип приводного оборудования,Промышленное,Редуктор
Мощность,Промышленное,160 кВт
Страна производства,Промышленное,Белоруссия
Тип фасовочного и упаковочного оборудования,Промышленное,Фасовочный аппарат
Вид станка,Промышленное,Сверлильный
Вид станка,Промышленное,Токарный
Вид специализированного оборудования,Промышленное,Смесители
Вид станка,Промышленное,Зиговочный
Тип паяльного и сварочного оборудования,Промышленное,Паяльники и паяльные станции
Тип фасовочного и упаковочного оборудования,Промышленное,Дозаторы
Тип паяльного и сварочного оборудования,Промышленное,Сварочные столы
Тип насосного и компрессорного оборудования,Промышленное,Рукава высокого давления
Мощность,Промышленное,80 кВт
Мощность,Промышленное,41 кВт
Тип трансформатора,Промышленное,Трансформатор напряжения
Пропускная способность,Промышленное,3 500 л/мин
Производитель,Промышленное,Crossair
Вид станка,Промышленное,Многопильный
Страна производства,Промышленное,Словакия
Вид станка,Промышленное,Кузнечный
Вид станка,Промышленное,Брусовальный
Материал обработки,Промышленное," Стекло"
Материал обработки,Промышленное," Камень"
Материал обработки,Промышленное," Металл"
Вид станка,Промышленное,Фальцегибочный
Тип электрического оборудования,Промышленное,Релейная защита и автоматика
Вид станка,Промышленное,Обжимной
Производитель,Промышленное,ТСС
Вид станка,Промышленное,Пилорама
Тип электрического оборудования,Промышленное,Запчасти и комплектующие
Тип фасовочного и упаковочного оборудования,Промышленное,Маркиратор
Тип конвейерного оборудования,Промышленное,Рольганг
Тип фасовочного и упаковочного оборудования,Промышленное,Запчасти и расходные материалы
Вид станка,Промышленное,Заточный
Вид станка,Промышленное,Многофункциональный
Тип фасовочного и упаковочного оборудования,Промышленное,Укупорщики
Давление,Промышленное,20 атм
Пропускная способность,Промышленное,7 000 л/мин
Высота,Промышленное,2 500 мм
Тип компрессора,Промышленное,Поршневой
Ширина,Промышленное,2 240 мм
Производитель,Промышленное,Airline
Длина,Промышленное,5 050 мм
Вид специализированного оборудования,Промышленное,Клининговое
Вид станка,Промышленное,Запчасти и комплектующие
Тип насоса,Промышленное,Канализационный
Вид станка,Промышленное,Шлифовальный
Страна производства,Промышленное,Испания
Мощность,Промышленное,4 кВт
Материал обработки,Промышленное,Пластик
Мощность,Промышленное,118 кВт
Давление,Промышленное,12 атм
Пропускная способность,Промышленное,12 000 л/мин
Мощность,Промышленное,7 кВт
Пропускная способность,Промышленное,1 200 л/мин
Вид станка,Промышленное,Проволокогибочный
Пропускная способность,Промышленное,5 200 л/мин
Производитель,Промышленное,ET-Compressors
Мощность,Промышленное,200 кВт
Давление,Промышленное,10 атм
Пропускная способность,Промышленное,35 000 л/мин
Пропускная способность,Промышленное,1 000 л/мин
Производитель,Промышленное,ЧКЗ
Производитель,Промышленное,Ironmac
Name,SubCategoryName,Value
Доступность,Промышленное,В наличии
Состояние,Промышленное,Новое
Тип приводного оборудования,Промышленное,Запчасти и комплектующие
Вид промышленного оборудования,Промышленное,Приводное
Вид оборудования,Промышленное,Промышленное
Материал обработки,Промышленное,Дерево
Вид станка,Промышленное,Кромкооблицовочный
Вид промышленного оборудования,Промышленное,Станки
Страна производства,Промышленное,Россия
Тип электрического оборудования,Промышленное,Преобразователи
Вид промышленного оборудования,Промышленное,Электрическое
Тип трансформатора,Промышленное,Подстанция
Тип электрического оборудования,Промышленное,Трансформаторы
Мощность,Промышленное,75 кВт
Давление,Промышленное,8 атм
Пропускная способность,Промышленное,16 500 л/мин
Тип двигателя,Промышленное,Электрический
Тип компрессора,Промышленное,Винтовой
Производитель,Промышленное,Dali
Страна производства,Промышленное,Китай
Тип насосного и компрессорного оборудования,Промышленное,Компрессоры
Вид промышленного оборудования,Промышленное,Насосы и компрессоры
Тип насосного и компрессорного оборудования,Промышленное,Насосы
Тип двигателя,Промышленное,Дизельный
Вид промышленного оборудования,Промышленное,Другое
Станок,Промышленное,с
Вид станка,Промышленное,Фрезерный
Тип конвейерного оборудования,Промышленное,Ленточный
Вид промышленного оборудования,Промышленное,Конвейеры и транспортеры
Вид станка,Промышленное,Листогибочный
Тип фасовочного и упаковочного оборудования,Промышленное,Упаковочный аппарат
Вид промышленного оборудования,Промышленное,Фасовочное и упаковочное
Материал обработки,Промышленное,Металл
Вид станка,Промышленное,Круглошлифовальный
Тип насосного и компрессорного оборудования,Промышленное,Запчасти и комплектующие
Тип электрического оборудования,Промышленное,Запчасти и комплектующие
Тип фасовочного и упаковочного оборудования,Промышленное,Укупорщики
Вид специализированного оборудования,Промышленное,Смесители
Вид промышленного оборудования,Промышленное,Специализированное
Тип климатического оборудования,Промышленное,Отопление
Вид промышленного оборудования,Промышленное,Климатическое
Вид специализированного оборудования,Промышленное,Полимерное и покрасочное
Состояние,Промышленное,Б/у
Вид станка,Промышленное,Сверлильный
Вид промышленного оборудования,Промышленное,Контрольно-измерительное
Доступность,Промышленное,Под заказ
Вид специализированного оборудования,Промышленное,Добывающее
Вид станка,Промышленное,Плазменный
Тип насосного и компрессорного оборудования,Промышленное,Осушители
Вид станка,Промышленное,Многофункциональный
Вид специализированного оборудования,Промышленное,Строительное
Тип приводного оборудования,Промышленное,Привод
Страна производства,Промышленное,Италия
Материал обработки,Промышленное," Пластик"
Тип контрольно-измерительного оборудования,Промышленное,Весы
Тип климатического оборудования,Промышленное,Вентиляция
Тип конвейерного оборудования,Промышленное,Шнековый
Тип фасовочного и упаковочного оборудования,Промышленное,Запайщик
Страна производства,Промышленное,Германия
Тип конвейерного оборудования,Промышленное,Запчасти и комплектующие
Тип фасовочного и упаковочного оборудования,Промышленное,Заклейщик
Вид станка,Промышленное,Форматно-раскроечный
Вид станка,Промышленное,Лазерный
Вид станка,Промышленное,Вальцы
Страна производства,Промышленное,Польша
Материал обработки,Промышленное,Пластик
Вид станка,Промышленное,Вакуум-формовочный
Вид станка,Промышленное,Заточный
Высота,Промышленное,770 мм
Ширина,Промышленное,600 мм
Длина,Промышленное,1 280 мм
Тип климатического оборудования,Промышленное,Кондиционирование
Мощность номинальная,Промышленное,18.5 кВт
Тип генераторов и электростанций,Промышленное,Дизельный
Страна производства,Промышленное,Великобритания
Тип электрического оборудования,Промышленное,Генераторы и электростанции
Тип насоса,Промышленное,Циркуляционный
Страна производства,Промышленное,Дания
Производитель,Промышленное,Airman
Тип контрольно-измерительного оборудования,Промышленное,Датчики
Высота,Промышленное,1 200 мм
Ширина,Промышленное,1 000 мм
Длина,Промышленное,2 000 мм
Производитель,Промышленное,Yuchai
Мощность номинальная,Промышленное,50 кВт
Тип генераторов и электростанций,Промышленное,Электростанция
Вид станка,Промышленное,Шлифовальный
Тип фасовочного и упаковочного оборудования,Промышленное,Фасовочно-упаковочный аппарат
Вид станка,Промышленное,Плоттер
Вид станка,Промышленное,Пресс
Тип фасовочного и упаковочного оборудования,Промышленное,Дозаторы
Вид специализированного оборудования,Промышленное,Перерабатывающее
Вид специализированного оборудования,Промышленное,Сельскохозяйственное
Производитель,Промышленное,Berg
Мощность,Промышленное,15 кВт
Пропускная способность,Промышленное,2 400 л/мин
Производитель,Промышленное,Kraftmachine
Тип паяльного и сварочного оборудования,Промышленное,Сварочные аппараты
Вид промышленного оборудования,Промышленное,Паяльное и сварочное
Тип насосного и компрессорного оборудования,Промышленное,Рукава высокого давления
Тип паяльного и сварочного оборудования,Промышленное,Запчасти и комплектующие
Вид специализированного оборудования,Промышленное,Химическое
Тип паяльного и сварочного оборудования,Промышленное,Сварочные столы
Тип контрольно-измерительного оборудования,Промышленное,Запчасти и комплектующие
Производитель,Промышленное,ТСС
Мощность номинальная,Промышленное,200 кВт
Вид специализированного оборудования,Промышленное,Текстильное
Вид станка,Промышленное,Рейсмусовый
Вид станка,Промышленное,Пилорама
Мощность,Промышленное,33 кВт
Давление,Промышленное,7 атм
Пропускная способность,Промышленное,5 000 л/мин
Производитель,Промышленное,Baysar
Вид станка,Промышленное,Торцовочный
Страна производства,Промышленное,Турция
Количество фаз,Промышленное,Трёхфазные
Мощность,Промышленное,100 кВт
Охлаждение,Промышленное,Масляный
Номинальное напряжение,Промышленное,10 кВ
Тип трансформатора,Промышленное,Силовой
Страна производства,Промышленное,Нидерланды
Вид станка,Промышленное,Многопильный
Страна производства,Промышленное,Швеция
Страна производства,Промышленное,Япония
Тип приводного оборудования,Промышленное,Редуктор
Мощность,Промышленное,41 кВт
Пропускная способность,Промышленное,3 500 л/мин
Производитель,Промышленное,Crossair
Вид станка,Промышленное,Токарный
Вид станка,Промышленное,Сверлильно-присадочный
Тип приводного оборудования,Промышленное,Двигатель
Тип паяльного и сварочного оборудования,Промышленное,Паяльники и паяльные станции
Страна производства,Промышленное,Белоруссия
Страна производства,Промышленное,Швейцария
Производитель,Промышленное,Jet
Вид станка,Промышленное,Долбежный
Тип фасовочного и упаковочного оборудования,Промышленное,Фасовочный аппарат
Мощность,Промышленное,160 кВт
Материал обработки,Промышленное," Стекло"
Материал обработки,Промышленное," Камень"
Материал обработки,Промышленное," Металл"
Вид станка,Промышленное,Кузнечный
Вид станка,Промышленное,Обжимной
Тип электрического оборудования,Промышленное,Релейная защита и автоматика
Тип фасовочного и упаковочного оборудования,Промышленное,Запчасти и расходные материалы
Тип фасовочного и упаковочного оборудования,Промышленное,Маркиратор
Давление,Промышленное,20 атм
Пропускная способность,Промышленное,7 000 л/мин
Тип компрессора,Промышленное,Поршневой
Производитель,Промышленное,Airline
Тип конвейерного оборудования,Промышленное,Рольганг
Вид специализированного оборудования,Промышленное,Клининговое
Высота,Промышленное,2 500 мм
Ширина,Промышленное,2 240 мм
Длина,Промышленное,5 050 мм
Тип насоса,Промышленное,Канализационный
Вид станка,Промышленное,Запчасти и комплектующие
Мощность,Промышленное,118 кВт
Давление,Промышленное,12 атм
Пропускная способность,Промышленное,12 000 л/мин
Страна производства,Промышленное,Испания
Мощность,Промышленное,4 кВт
Мощность,Промышленное,7 кВт
Давление,Промышленное,10 атм
Пропускная способность,Промышленное,1 000 л/мин
Производитель,Промышленное,Ironmac
Пропускная способность,Промышленное,5 200 л/мин
Производитель,Промышленное,ET-Compressors
Вид станка,Промышленное,Проволокогибочный
Мощность,Промышленное,80 кВт
Тип трансформатора,Промышленное,Трансформатор напряжения
Мощность,Промышленное,200 кВт
Пропускная способность,Промышленное,35 000 л/мин
Производитель,Промышленное,ЧКЗ
Производитель,Промышленное,TSS
