Id,PropertyId,SubCategoryName,Value
1,1,Другое,Привлечь инвестиции
2,1,Другое,Найти партнёра
3,1,Другое,Продать бизнес
4,2,IT бизнес,Получить заём
5,3,Промышленное,В наличии
6,3,Промышленное,Под заказ
7,4,Промышленное,Новое
8,4,Промышленное,Б/у
9,5,Промышленное,Другое
10,5,Промышленное,Станки
11,5,Промышленное,Специализированное
12,5,Промышленное,Электрическое
13,5,Промышленное,Фасовочное и упаковочное
14,5,Промышленное,Паяльное и сварочное
15,5,Промышленное,Контрольно-измерительное
16,5,Промышленное,Приводное
17,5,Промышленное,Климатическое
18,5,Промышленное,Насосы и компрессоры
19,5,Промышленное,Конвейеры и транспортеры
20,6,Промышленное,Промышленное
21,7,Промышленное,Китай
22,7,Промышленное,Россия
23,7,Промышленное,Польша
24,7,Промышленное,Великобритания
25,7,Промышленное,Германия
26,7,Промышленное,Дания
27,7,Промышленное,Турция
28,7,Промышленное,Италия
29,7,Промышленное,Швеция
30,7,Промышленное,Швейцария
31,7,Промышленное,Япония
32,7,Промышленное,Нидерланды
33,7,Промышленное,Белоруссия
34,7,Промышленное,Словакия
35,7,Промышленное,Испания
36,8,Промышленное,с
37,9,Промышленное,Металл
38,9,Промышленное,Дерево
39,9,Промышленное," Пластик"
40,9,Промышленное," Стекло"
41,9,Промышленное," Камень"
42,9,Промышленное," Металл"
43,9,Промышленное,Пластик
44,10,Промышленное,Листогибочный
45,10,Промышленное,Вальцы
46,10,Промышленное,Круглошлифовальный
47,10,Промышленное,Кромкооблицовочный
48,10,Промышленное,Форматно-раскроечный
49,10,Промышленное,Плазменный
50,10,Промышленное,Пресс
51,10,Промышленное,Фрезерный
52,10,Промышленное,Плоттер
53,10,Промышленное,Лазерный
54,10,Промышленное,Рейсмусовый
55,10,Промышленное,Долбежный
56,10,Промышленное,Торцовочный
57,10,Промышленное,Сверлильно-присадочный
58,10,Промышленное,Сверлильный
59,10,Промышленное,Токарный
60,10,Промышленное,Зиговочный
61,10,Промышленное,Многопильный
62,10,Промышленное,Кузнечный
63,10,Промышленное,Брусовальный
64,10,Промышленное,Фальцегибочный
65,10,Промышленное,Обжимной
66,10,Промышленное,Пилорама
67,10,Промышленное,Заточный
68,10,Промышленное,Многофункциональный
69,10,Промышленное,Запчасти и комплектующие
70,10,Промышленное,Шлифовальный
71,10,Промышленное,Проволокогибочный
72,11,Промышленное,Строительное
73,11,Промышленное,Сельскохозяйственное
74,11,Промышленное,Полимерное и покрасочное
75,11,Промышленное,Химическое
76,11,Промышленное,Добывающее
77,11,Промышленное,Перерабатывающее
78,11,Промышленное,Текстильное
79,11,Промышленное,Смесители
80,11,Промышленное,Клининговое
81,12,Промышленное,Преобразователи
82,12,Промышленное,Трансформаторы
83,12,Промышленное,Генераторы и электростанции
84,12,Промышленное,Релейная защита и автоматика
85,12,Промышленное,Запчасти и комплектующие
86,13,Промышленное,Упаковочный аппарат
87,13,Промышленное,Запайщик
88,13,Промышленное,Фасовочно-упаковочный аппарат
89,13,Промышленное,Фасовочный аппарат
90,13,Промышленное,Дозаторы
91,13,Промышленное,Маркиратор
92,13,Промышленное,Запчасти и расходные материалы
93,13,Промышленное,Укупорщики
94,14,Промышленное,Подстанция
95,14,Промышленное,Силовой
96,14,Промышленное,Трансформатор напряжения
97,15,Промышленное,Запчасти и комплектующие
98,15,Промышленное,Сварочные аппараты
99,15,Промышленное,Паяльники и паяльные станции
100,15,Промышленное,Сварочные столы
101,16,Промышленное,770 мм
102,16,Промышленное,2 500 мм
103,17,Промышленное,600 мм
104,17,Промышленное,2 240 мм
105,18,Промышленное,1 280 мм
106,18,Промышленное,5 050 мм
107,19,Промышленное,18.5 кВт
108,19,Промышленное,200 кВт
109,20,Промышленное,Дизельный
110,21,Промышленное,Запчасти и комплектующие
111,21,Промышленное,Двигатель
112,21,Промышленное,Редуктор
113,22,Промышленное,Отопление
114,22,Промышленное,Вентиляция
115,22,Промышленное,Кондиционирование
116,23,Промышленное,Насосы
117,23,Промышленное,Компрессоры
118,23,Промышленное,Запчасти и комплектующие
119,23,Промышленное,Осушители
120,23,Промышленное,Рукава высокого давления
121,24,Промышленное,33 кВт
122,24,Промышленное,15 кВт
123,24,Промышленное,100 кВт
124,24,Промышленное,75 кВт
125,24,Промышленное,160 кВт
126,24,Промышленное,80 кВт
127,24,Промышленное,41 кВт
128,24,Промышленное,4 кВт
129,24,Промышленное,118 кВт
130,24,Промышленное,7 кВт
131,24,Промышленное,200 кВт
132,25,Промышленное,7 атм
133,25,Промышленное,8 атм
134,25,Промышленное,20 атм
135,25,Промышленное,12 атм
136,25,Промышленное,10 атм
137,26,Промышленное,5 000 л/мин
138,26,Промышленное,2 400 л/мин
139,26,Промышленное,16 500 л/мин
140,26,Промышленное,3 500 л/мин
141,26,Промышленное,7 000 л/мин
